,date,year,month,day,countryCode,taxonID,phylum,class,order,family,genus,specificEpithet,species,Substrate,Latitude,Longitude,CoorUncert,Habitat,image_path,class_id,genus_id,family_id
10,2019-08-21,2019.0,8.0,21.0,DK,20681.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,strobilaceus,Strobilomyces strobilaceus,soil,55.566747,11.892361,25.0,deciduous woodland,2351007892-340238.jpg,1441,509,17
11,2019-06-24,2019.0,6.0,24.0,DK,67237.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,engelii,Hortiboletus engelii,soil,56.085953,12.202133,5.0,garden,2273187669-115148.jpg,618,225,17
12,2019-09-20,2019.0,9.0,20.0,DK,16118.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,vulpinum,Leccinum vulpinum,mosses,56.343851,9.018505,50.0,coniferous woodland,2417206872-342048.jpg,828,274,17
13,2018-09-09,2018.0,9.0,9.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,soil,55.840558,12.025372,15.0,deciduous woodland,2238558051-255494.jpg,1590,563,17
14,2013-08-27,2013.0,8.0,27.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.936890000000005,10.10183,75.0,roadside,2238219871-233409.jpg,1587,563,17
15,2020-08-08,2020.0,8.0,8.0,DK,61279.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,cisalpinus,Xerocomellus cisalpinus,soil,56.844095,9.033155,16.0,garden,2825701340-209103.jpg,1588,563,17
16,2019-10-01,2019.0,10.0,1.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,56.07701899999999,9.36345,15.0,coniferous woodland,2424122817-343287.jpg,1587,563,17
17,2018-09-12,2018.0,9.0,12.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,54.740878,11.586094,15.0,deciduous woodland,2238558944-107643.jpg,105,39,17
18,2018-08-23,2018.0,8.0,23.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,56.726409,9.48148,25.0,mixed woodland (coniferous and deciduous trees),2238551096-254053.jpg,1587,563,17
19,2020-09-20,2020.0,9.0,20.0,SE,16117.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,versipelle,Leccinum versipelle,leaves,56.448097,15.334749,166.0,mixed woodland (coniferous and deciduous trees),2862700458-63395.jpg,827,274,17
20,2016-07-19,2016.0,7.0,19.0,DK,10933.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Aureoboletus,gentilis,Aureoboletus gentilis,soil,56.071485,10.255461,50.0,deciduous woodland,2238467407-315789.jpg,86,26,17
21,2019-06-24,2019.0,6.0,24.0,DK,67237.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,engelii,Hortiboletus engelii,soil,56.085953,12.202133,5.0,garden,2273187669-115147.jpg,618,225,17
22,2020-09-11,2020.0,9.0,11.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,soil,56.10035,9.881042,1.0,deciduous woodland,2860303410-210760.jpg,1590,563,17
23,2012-07-08,2012.0,7.0,8.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,56.06551999999999,12.26177,100.0,deciduous woodland,2238149198-7775.jpg,1587,563,17
24,2018-09-08,2018.0,9.0,8.0,DK,61279.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,cisalpinus,Xerocomellus cisalpinus,soil,56.644466,9.808962,5.0,thorny scrubland,2238556280-181210.jpg,1588,563,17
25,2019-09-15,2019.0,9.0,15.0,DK,67753.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Aureoboletus,projectellus,Aureoboletus projectellus,soil,55.761316,8.209700999999999,250.0,coniferous woodland,2417206033-44101.jpg,87,26,17
26,2013-08-29,2013.0,8.0,29.0,DK,65745.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,luridus,Suillellus luridus,soil,55.8028,12.31783,50.0,deciduous woodland,2238221022-308712.jpg,1453,513,17
27,2019-08-25,2019.0,8.0,25.0,DK,11573.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,piperatus,Chalciporus piperatus,soil,55.92638,12.328765,5.0,mixed woodland (coniferous and deciduous trees),2351008137-340288.jpg,163,76,17
28,2020-09-30,2020.0,9.0,30.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,55.691076,9.616697,16.0,mixed woodland (coniferous and deciduous trees),2868488385-213983.jpg,1592,39,17
29,2020-10-12,2020.0,10.0,12.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,soil,54.736763,11.593575,1.0,deciduous woodland,2883256343-67097.jpg,1590,563,17
30,2019-08-17,2019.0,8.0,17.0,DK,11067.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,bubalinus,Hortiboletus bubalinus,soil,55.739059,12.471424,25.0,park,2332528498-42105.jpg,617,225,17
31,2014-08-19,2014.0,8.0,19.0,DK,11061.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,aereus,Boletus aereus,soil,54.6786,11.50144,50.0,deciduous woodland,2238377586-236383.jpg,104,39,17
32,2018-09-27,2018.0,9.0,27.0,DK,19022.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Porphyrellus,porphyrosporus,Porphyrellus porphyrosporus,soil,56.160035,9.595785,75.0,deciduous woodland,2237856421-223650.jpg,1211,427,17
33,2009-09-16,2009.0,9.0,16.0,DK,63618.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,cyaneobasileucum,Leccinum cyaneobasileucum,soil,56.20546,9.71887,100.0,mixed woodland (coniferous and deciduous trees),2238317803-11594.jpg,820,274,17
34,2020-09-14,2020.0,9.0,14.0,DK,11573.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,piperatus,Chalciporus piperatus,soil,54.745925,11.561075,15.0,mixed woodland (coniferous and deciduous trees),2862691333-62955.jpg,163,76,17
35,2020-10-23,2020.0,10.0,23.0,DK,16116.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,variicolor,Leccinum variicolor,soil,56.48611700000001,8.362186,1.0,mixed woodland (coniferous and deciduous trees),2901934342-367275.jpg,826,274,17
36,2010-09-02,2010.0,9.0,2.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,55.85187,12.02331,25.0,roadside,2237917639-77446.jpg,1592,39,17
37,2011-07-05,2011.0,7.0,5.0,DK,21358.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,felleus,Tylopilus felleus,soil,55.96255,12.33026,100.0,deciduous woodland,2237960018-4586.jpg,1551,544,17
38,2011-08-04,2011.0,8.0,4.0,DK,61471.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,aurantiacum,Leccinum aurantiacum,soil,55.34245,9.64319,50.0,deciduous woodland,2237965109-79316.jpg,819,274,17
39,2019-10-31,2019.0,10.0,31.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,55.050744,10.566541,75.0,deciduous woodland,2446758996-271629.jpg,711,248,17
40,2018-08-24,2018.0,8.0,24.0,DK,11085.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,porosporus,Xerocomellus porosporus,soil,56.806165,9.877653,25.0,mixed woodland (coniferous and deciduous trees),2238553825-180756.jpg,1589,563,17
41,2019-07-19,2019.0,7.0,19.0,DK,16117.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,versipelle,Leccinum versipelle,soil,56.28684499999999,10.61033,50.0,mixed woodland (coniferous and deciduous trees),2285836438-41197.jpg,827,274,17
42,2019-08-09,2019.0,8.0,9.0,DK,16118.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,vulpinum,Leccinum vulpinum,soil,56.090307,8.978833999999999,50.0,coniferous woodland,2332527960-190299.jpg,828,274,17
43,2013-07-20,2013.0,7.0,20.0,DK,11095.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,rubellus,Hortiboletus rubellus,soil,55.31183000000001,12.32421,50.0,mixed woodland (coniferous and deciduous trees),2238216233-10675.jpg,619,225,17
44,2015-09-22,2015.0,9.0,22.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.58111,11.87111,50.0,deciduous woodland,2238430813-16100.jpg,1587,563,17
45,2011-06-29,2011.0,6.0,29.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.89062,10.06073,50.0,mixed woodland (coniferous and deciduous trees),2237959498-4552.jpg,1587,563,17
46,2019-09-12,2019.0,9.0,12.0,DK,11573.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,piperatus,Chalciporus piperatus,soil,56.147809,9.525211,25.0,coniferous woodland,2413149423-43874.jpg,163,76,17
47,2019-08-26,2019.0,8.0,26.0,DK,11091.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,radicans,Caloboletus radicans,soil,56.08959,10.230804,34.0,park,2382323338-42793.jpg,128,54,17
48,2020-08-28,2020.0,8.0,28.0,DK,11088.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cyanoboletus,pulverulentus,Cyanoboletus pulverulentus,soil,55.069369,10.532097,10.0,mixed woodland (coniferous and deciduous trees),2851425346-284421.jpg,369,122,17
49,2010-09-11,2010.0,9.0,11.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,soil,55.6018,11.93544,50.0,deciduous woodland,2237920159-77536.jpg,1590,563,17
50,2019-10-27,2019.0,10.0,27.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,leaves,54.898913,9.843817,15.0,coniferous woodland,2430665754-122627.jpg,711,248,17
51,2011-07-25,2011.0,7.0,25.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.565380000000005,11.89693,25.0,coniferous woodland,2237961439-79125.jpg,1587,563,17
52,2019-09-08,2019.0,9.0,8.0,DK,21358.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,felleus,Tylopilus felleus,soil,55.691798,9.539463,100.0,deciduous woodland,2383043255-191789.jpg,1551,544,17
53,2012-09-07,2012.0,9.0,7.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.695440000000005,12.58335,150.0,park,2238161602-305928.jpg,1587,563,17
54,2019-10-25,2019.0,10.0,25.0,DK,11573.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,piperatus,Chalciporus piperatus,soil,55.051297,10.567873,25.0,coniferous woodland,2430666799-122889.jpg,163,76,17
55,2013-08-27,2013.0,8.0,27.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.943430000000006,11.55161,75.0,mixed woodland (coniferous and deciduous trees),2238220357-308681.jpg,1587,563,17
56,2020-10-24,2020.0,10.0,24.0,DK,16116.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,variicolor,Leccinum variicolor,soil,56.188016000000005,10.641578,5.0,deciduous woodland,2898636436-292119.jpg,826,274,17
57,2010-06-13,2010.0,6.0,13.0,DK,16117.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,versipelle,Leccinum versipelle,soil,56.04482,12.22646,150.0,coniferous woodland,2238589650-187668.jpg,827,274,17
58,2019-09-21,2019.0,9.0,21.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,55.444498,12.154535,75.0,lawn,2417206720-192725.jpg,824,274,17
59,2018-08-20,2018.0,8.0,20.0,DK,11067.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,bubalinus,Hortiboletus bubalinus,soil,56.08724,12.214877,5.0,garden,2238551691-254205.jpg,617,225,17
60,2020-09-27,2020.0,9.0,27.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,56.03481800000001,12.038175,50.0,coniferous woodland,2864901462-361762.jpg,1592,39,17
61,2020-09-19,2020.0,9.0,19.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.33065799999999,11.570201,75.0,mixed woodland (coniferous and deciduous trees),2862703442-361512.jpg,1587,563,17
62,2020-10-25,2020.0,10.0,25.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,56.023347,12.346883,1.0,coniferous woodland,2901936444-143265.jpg,711,248,17
63,2019-08-19,2019.0,8.0,19.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,56.96024499999999,10.266995,6.0,hedgerow,2351007156-264934.jpg,105,39,17
64,2019-09-24,2019.0,9.0,24.0,DK,16117.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,versipelle,Leccinum versipelle,soil,56.029219,12.313667,15.0,deciduous woodland,2425493041-268699.jpg,827,274,17
65,2020-10-26,2020.0,10.0,26.0,DK,11088.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cyanoboletus,pulverulentus,Cyanoboletus pulverulentus,soil,55.834808,12.233942,1.0,coniferous woodland,2901948384-144169.jpg,369,122,17
66,2012-07-10,2012.0,7.0,10.0,DK,65745.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,luridus,Suillellus luridus,soil,55.47498,12.05141,150.0,roadside,2238148836-230068.jpg,1453,513,17
67,2012-07-15,2012.0,7.0,15.0,DK,61001.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Buchwaldoboletus,lignicola,Buchwaldoboletus lignicola,wood,56.03301999999999,12.31302,100.0,deciduous woodland,2238148975-155929.jpg,116,45,17
68,2010-08-07,2010.0,8.0,7.0,DK,11101.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,subtomentosus,Boletus subtomentosus,soil,56.8116,9.76043,25.0,deciduous woodland,2237885859-77043.jpg,1593,39,17
69,2009-08-03,2009.0,8.0,3.0,DK,11101.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,subtomentosus,Boletus subtomentosus,soil,55.70927,9.63827,75.0,deciduous woodland,2238190668-9544.jpg,1593,39,17
70,2020-10-11,2020.0,10.0,11.0,DK,11068.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,calopus,Caloboletus calopus,soil,56.329942,10.170045,1.0,coniferous woodland,2874301537-363922.jpg,127,54,17
71,2016-07-20,2016.0,7.0,20.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.80301800000001,12.586558,75.0,park,2238469041-240647.jpg,1587,563,17
72,2017-08-07,2017.0,8.0,7.0,DK,61279.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,cisalpinus,Xerocomellus cisalpinus,soil,56.644631,9.81137,25.0,thorny scrubland,2238500636-245126.jpg,1588,563,17
73,2009-08-05,2009.0,8.0,5.0,DK,16080.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,albostipitatum,Leccinum albostipitatum,leaves,57.10525,10.35333,25.0,mixed woodland (coniferous and deciduous trees),2238193005-157958.jpg,818,274,17
74,2019-08-25,2019.0,8.0,25.0,DK,11068.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,calopus,Caloboletus calopus,soil,57.475619,10.170047,15.0,deciduous woodland,2351008151-265131.jpg,127,54,17
75,2018-09-09,2018.0,9.0,9.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,55.025047,15.111417,15.0,deciduous woodland,2238557165-181402.jpg,1023,348,17
76,2020-09-09,2020.0,9.0,9.0,DK,11093.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,reticulatus,Boletus reticulatus,soil,55.770146,12.454688,5.0,park,2860313354-136705.jpg,107,39,17
77,2018-09-09,2018.0,9.0,9.0,SE,11085.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,porosporus,Xerocomellus porosporus,soil,56.405836,13.846971,25.0,garden,2238557108-32909.jpg,1589,563,17
78,2010-07-22,2010.0,7.0,22.0,DK,67237.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,engelii,Hortiboletus engelii,soil,55.71434,9.63222,25.0,deciduous woodland,2238592458-39416.jpg,618,225,17
79,2019-08-16,2019.0,8.0,16.0,DK,65746.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,queletii,Suillellus queletii,soil,54.8112,12.125706,15.0,deciduous woodland,2332528322-339773.jpg,1454,513,17
80,2019-10-14,2019.0,10.0,14.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,leaves,54.606228,11.960678,75.0,coniferous woodland,2427873386-269707.jpg,711,248,17
81,2010-07-18,2010.0,7.0,18.0,DK,11062.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,appendiculatus,Butyriboletus appendiculatus,soil,55.53038000000001,11.93759,50.0,deciduous woodland,2238592173-39397.jpg,120,49,17
82,2020-10-21,2020.0,10.0,21.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,mosses,56.152997,9.560259,5.0,mixed woodland (coniferous and deciduous trees),2898617356-291208.jpg,1590,563,17
83,2019-08-19,2019.0,8.0,19.0,DK,20681.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,strobilaceus,Strobilomyces strobilaceus,soil,55.55585,11.877615,25.0,deciduous woodland,2351007222-340109.jpg,1441,509,17
84,2017-10-09,2017.0,10.0,9.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,57.02970799999999,8.488432000000001,75.0,mixed woodland (coniferous and deciduous trees),2238521975-174548.jpg,824,274,17
85,2013-06-14,2013.0,6.0,14.0,DK,11093.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,reticulatus,Boletus reticulatus,soil,54.76603000000001,11.71325,75.0,deciduous woodland,2238212697-308140.jpg,107,39,17
86,2018-09-02,2018.0,9.0,2.0,DK,11085.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,porosporus,Xerocomellus porosporus,soil,55.129888,10.247948,25.0,grassland,2238554692-330198.jpg,1589,563,17
87,2018-10-07,2018.0,10.0,7.0,DK,19022.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Porphyrellus,porphyrosporus,Porphyrellus porphyrosporus,soil,55.686682,9.596352,75.0,deciduous woodland,2238570105-183825.jpg,1211,427,17
88,2016-09-07,2016.0,9.0,7.0,DK,11067.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,bubalinus,Hortiboletus bubalinus,soil,55.690425,12.550165,10.0,park,2238473894-93011.jpg,617,225,17
89,2020-07-14,2020.0,7.0,14.0,DK,67237.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,engelii,Hortiboletus engelii,soil,55.654953000000006,12.529568,25.0,park,2816366319-133716.jpg,618,225,17
90,2017-06-14,2017.0,6.0,14.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,54.73732,11.455496,5.0,deciduous woodland,2238493642-319403.jpg,1023,348,17
91,2018-10-04,2018.0,10.0,4.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,56.051886,9.828465,25.0,coniferous woodland,2238569604-109761.jpg,1592,39,17
92,2019-10-06,2019.0,10.0,6.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,soil,55.790425,12.346129,75.0,deciduous woodland,2425492649-120541.jpg,1590,563,17
93,2019-08-03,2019.0,8.0,3.0,DK,11095.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,rubellus,Hortiboletus rubellus,soil,55.101503,10.496896,50.0,grassland,2303159627-339309.jpg,619,225,17
94,2020-11-15,2020.0,11.0,15.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,54.911328000000005,11.90305,15.0,coniferous woodland,2981243464-145948.jpg,711,248,17
95,2010-06-19,2010.0,6.0,19.0,DK,11093.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,reticulatus,Boletus reticulatus,soil,55.75943,12.37653,75.0,deciduous woodland,2238590765-187748.jpg,107,39,17
96,2018-10-13,2018.0,10.0,13.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,57.118889,9.383611,15.0,coniferous woodland,2238573467-333833.jpg,1023,348,17
97,2019-09-21,2019.0,9.0,21.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,54.68693100000001,11.520384,75.0,coniferous woodland,2417207653-44465.jpg,105,39,17
98,2019-09-28,2019.0,9.0,28.0,DK,20681.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,strobilaceus,Strobilomyces strobilaceus,soil,55.316985,11.564622,75.0,deciduous woodland,2421823264-119475.jpg,1441,509,17
99,2019-08-24,2019.0,8.0,24.0,DK,67237.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,engelii,Hortiboletus engelii,soil,55.76933100000001,12.450003,10.0,deciduous woodland,2382320250-191037.jpg,618,225,17
100,2017-08-19,2017.0,8.0,19.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,56.800996,9.906471,25.0,coniferous woodland,2238503157-320825.jpg,1592,39,17
101,2011-08-07,2011.0,8.0,7.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,55.68381,9.85126,25.0,coniferous woodland,2237966312-302572.jpg,1023,348,17
102,2019-08-12,2019.0,8.0,12.0,DK,11091.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,radicans,Caloboletus radicans,soil,55.854932,11.975604,10.0,park,2332527507-339571.jpg,128,54,17
103,2018-09-11,2018.0,9.0,11.0,DK,65745.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,luridus,Suillellus luridus,soil,54.659647,11.613613,25.0,thorny scrubland,2238559128-33369.jpg,1453,513,17
104,2020-10-11,2020.0,10.0,11.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,55.621892,12.53658,1.0,deciduous woodland,2898631305-217069.jpg,824,274,17
105,2011-10-27,2011.0,10.0,27.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,leaves,54.85329,11.24837,25.0,mixed woodland (coniferous and deciduous trees),2238122991-228681.jpg,1587,563,17
106,2010-07-04,2010.0,7.0,4.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,wood,55.49381,11.84584,50.0,deciduous woodland,2238590199-113723.jpg,824,274,17
107,2019-06-21,2019.0,6.0,21.0,DK,11068.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,calopus,Caloboletus calopus,soil,56.3861,10.478957,65.0,deciduous woodland,2269197347-338235.jpg,127,54,17
